lg_code,prefecture_code,xmin,ymin,xmax,ymax
01434,01,141.89494916976855,43.74516166707747,142.0107952788792,43.81430833316324
01436,01,141.52503194626752,43.60693250513117,141.92139082972324,43.746003053897994
01437,01,141.52315194590574,43.705191666562314,141.911866394119,43.851467505321295
01438,01,141.85837277628275,43.76745027940706,142.0856969387629,44.00628305441961
01452,01,142.27126888455155,43.786719170653384,142.42139944243047,43.96294944106404
01453,01,142.39135167284155,43.62483777504343,142.62976306061694,43.73150722537832
01454,01,142.45753693887877,43.73891833331459,142.71273693895876,43.89755694629622
01455,01,142.4320830609846,43.8388647209303,142.54396972762106,43.99333027906931
01456,01,142.5108872236666,43.82872027921769,142.77425555095306,44.029225559312295
01457,01,142.6814783401535,43.526277224714306,143.17968055841118,43.953120558866885
01458,01,142.47318749690567,43.61545027920721,142.90735306079534,43.75072777536673
01459,01,142.320528612006,43.41762027895288,142.9120436062276,43.66894777492007
01460,01,142.38203083025883,43.38155889212936,142.68631167274566,43.551055000388146
01461,01,142.34560083021427,43.35146166702248,142.56170833966837,43.471390279138234
01462,01,142.24315111493218,43.0049897206992,142.7791097280317,43.40510250477695
01463,01,142.27279250337153,42.88383166699799,142.72777194611865,43.13315944125537
01464,01,142.2356986121015,43.93955222455571,142.49161610929616,44.11332166656183
01465,01,142.26809221828148,44.03742333302057,142.44762444940898,44.18638138719143
01468,01,142.52953472115064,44.141752224885465,142.8824452791265,44.48600083756878
01469,01,142.17947250315365,44.39333222530212,142.6568050063462,44.67083805433293
01470,01,142.13982805362195,44.602946667354956,142.41851138839002,44.826980559405456
01471,01,141.97639861180664,44.459842505427446,142.22185389094454,44.90518500018777
01472,01,142.02114722386546,43.90535750474521,142.32380360565207,44.478748054379366
01481,01,141.33773643269035,43.68444110807087,141.70474250306427,43.90312110755326
01482,01,141.65080430627393,43.925018891608715,142.07817555056135,44.21489194560695
01483,01,141.64701944199385,44.09084805379479,142.08818306059993,44.347202504592076
01484,01,141.29179749685716,44.20705999991924,142.0663783401884,44.455238053893254
01485,01,141.74705944183995,44.387462504990765,141.93911138788042,44.642943332768766
01486,01,141.7633694421462,44.354861387443236,142.1158172242857,44.84522610759893
01487,01,141.71516082970868,44.763316945620716,142.02819778190224,44.99321610813706
01511,01,141.95901369592548,45.05118750529931,142.34489805410215,45.402341386945636
01512,01,142.1536025026536,44.968111946009685,142.5039576388341,45.19211583757601
01513,01,142.12632861187615,44.777949721102914,142.43086555070477,45.02467333300808
01514,01,142.3026638907262,44.57810194614808,142.84205999956953,45.05972812575254
01516,01,141.57824666725003,45.03132583761749,142.0193608303382,45.274044441098226
01517,01,140.9630344489808,45.27341777461078,141.06698250314014,45.48012027932759
01518,01,141.12683805373342,45.096994721029716,141.25639138755264,45.224476387375546
01519,01,141.14910027186022,45.10068861258958,141.32947333312802,45.25969417144904
01520,01,141.66347555065636,44.87820555913942,142.17273639396956,45.100478333108754
01543,01,143.91147221816846,43.597870559378975,144.33194221795918,43.893477224894184
01544,01,143.77457167324428,43.46101417116722,144.23528610886706,43.76781638711674
01545,01,144.55419444871507,43.75733194591277,145.33764416324766,44.34510805369388
01546,01,144.48108194597523,43.60067861332749,144.734199441751,43.88340222523266
01547,01,144.33166250272245,43.67814389232694,144.56128778210564,43.95578917113352
01549,01,143.6172761087056,43.616355838051675,143.83358472095824,43.783826666767425
01550,01,143.1729863936074,43.50815333320992,143.6768066667944,43.775871666844125
01552,01,143.57096888520607,43.874658054026156,143.9667047210462,44.144343613267324
01555,01,143.00689167331223,43.69679889195544,143.5906636063405,44.11217917143176
01559,01,143.41047444923663,43.98698722488069,143.7764513876216,44.252523612574805
01560,01,142.8382783395739,43.91412389190424,143.19788472070343,44.291727774717174
01561,01,142.85639888470098,44.28685833344548,143.27613722395392,44.49785222490044
01562,01,142.80245138802127,44.21548333258988,143.0638452789367,44.438802775327986
01563,01,142.58406555138424,44.43181527865238,143.10046583722874,44.687202504991774
01564,01,144.04653610915432,43.70526694611283,144.38795444923858,43.96797333280324
01571,01,140.5331725026091,42.567020838441124,140.76283027179977,42.717780838115345
01575,01,140.82555805376137,42.503490559042234,141.0880950063796,42.64565389161396
